venue_name,venue_id,hrs,trips,lob,attendance,temp,time,date,
Rogers Centre,14,2,1,12,30430,63,161,May 8, 2015,
Miller Park,32,6,0,14,38283,78,183,May 8, 2015,
Angel Stadium of Anaheim,1,0,0,9,40006,61,129,May 8, 2015,
Comerica Park,2394,1,0,15,39434,84,198,May 8, 2015,
Coors Field,19,0,0,9,32974,51,101,May 8, 2015,
AT&T Park,2395,1,0,18,41413,55,167,May 8, 2015,
Progressive Field,5,2,0,13,19102,82,167,May 8, 2015,
Citizens Bank Park,2681,1,0,12,32734,80,147,May 8, 2015,
Safeco Field,680,2,0,16,25187,73,214,May 8, 2015,
Chase Field,15,6,2,15,28677,70,206,May 8, 2015,
PNC Park,31,3,0,12,33507,87,178,May 8, 2015,
Tropicana Field,12,3,0,11,11704,72,175,May 8, 2015,
Nationals Park,3309,3,0,12,39193,82,192,May 9, 2015,
Yankee Stadium,3313,3,1,15,41280,59,175,May 9, 2015,
Rogers Centre,14,1,0,20,42917,68,192,May 9, 2015,
Miller Park,32,4,0,9,39600,69,183,May 9, 2015,
U.S. Cellular Field,4,3,0,15,0,59,213,May 9, 2015,
U.S. Cellular Field,4,3,0,12,27980,47,173,May 9, 2015,
Angel Stadium of Anaheim,1,4,0,11,40210,64,162,May 9, 2015,
Comerica Park,2394,1,2,18,41456,75,160,May 9, 2015,
AT&T Park,2395,1,0,18,42285,57,204,May 9, 2015,
Progressive Field,5,3,0,19,16199,88,182,May 9, 2015,
Citizens Bank Park,2681,1,0,17,29373,77,164,May 9, 2015,
Safeco Field,680,1,0,24,37441,79,216,May 9, 2015,
Chase Field,15,1,1,20,27340,75,257,May 9, 2015,
PNC Park,31,1,0,10,38068,86,154,May 9, 2015,
Tropicana Field,12,4,0,17,20943,72,198,May 9, 2015,
Nationals Park,3309,0,0,14,31938,80,171,May 10, 2015,
Yankee Stadium,3313,3,0,15,39059,78,183,May 10, 2015,
Rogers Centre,14,2,1,10,42419,68,158,May 10, 2015,
Miller Park,32,3,0,14,41467,67,206,May 10, 2015,
U.S. Cellular Field,4,0,1,22,20123,54,190,May 10, 2015,
Angel Stadium of Anaheim,1,0,0,9,30929,73,160,May 10, 2015,
Comerica Park,2394,0,1,15,29852,73,203,May 10, 2015,
Coors Field,19,1,0,15,30710,41,216,May 10, 2015,
AT&T Park,2395,0,0,15,41889,56,182,May 10, 2015,
Progressive Field,5,2,1,10,13769,83,157,May 10, 2015,
Citizens Bank Park,2681,2,0,14,27935,78,177,May 10, 2015,
Safeco Field,680,3,0,10,42831,65,156,May 10, 2015,
Chase Field,15,2,0,12,24881,80,167,May 10, 2015,
PNC Park,31,2,0,13,34036,84,158,May 10, 2015,
Tropicana Field,12,1,0,15,14521,72,186,May 10, 2015,
Great American Ball Park,2602,1,0,17,19881,70,174,May 11, 2015,
O.co Coliseum,10,1,0,20,19743,56,237,May 11, 2015,
Miller Park,32,4,1,10,29886,69,189,May 11, 2015,
Globe Life Park in Arlington,13,3,0,15,21206,71,173,May 11, 2015,
Dodger Stadium,22,3,0,12,44941,72,182,May 11, 2015,
Tropicana Field,12,7,0,7,10619,72,168,May 11, 2015,
Wrigley Field,17,4,0,14,32980,65,176,May 11, 2015,
Citizens Bank Park,2681,2,0,14,21358,77,175,May 11, 2015,
Oriole Park at Camden Yards,2,3,0,12,20468,78,163,May 11, 2015,
Chase Field,15,3,0,13,16406,94,162,May 11, 2015,
Great American Ball Park,2602,1,0,19,23780,69,166,May 12, 2015,
O.co Coliseum,10,3,1,8,24605,54,152,May 12, 2015,
Miller Park,32,1,1,11,26935,66,165,May 12, 2015,
Angel Stadium of Anaheim,1,0,0,11,28150,64,164,May 12, 2015,
Globe Life Park in Arlington,13,4,1,15,23659,71,214,May 12, 2015,
Dodger Stadium,22,3,0,18,49628,65,183,May 12, 2015,
Comerica Park,2394,1,1,14,26177,53,176,May 12, 2015,
Tropicana Field,12,0,0,10,10417,72,153,May 12, 2015,
Wrigley Field,17,2,1,15,31542,54,175,May 12, 2015,
Citizens Bank Park,2681,2,0,10,20393,84,169,May 12, 2015,
Safeco Field,680,6,0,18,16148,60,197,May 12, 2015,
Minute Maid Park,2392,1,0,9,20468,73,159,May 12, 2015,
Progressive Field,5,1,0,18,12615,57,211,May 12, 2015,
Oriole Park at Camden Yards,2,3,0,10,17319,86,157,May 12, 2015,
Chase Field,15,4,1,11,19053,89,179,May 12, 2015,
Great American Ball Park,2602,2,2,8,17747,68,126,May 13, 2015,
O.co Coliseum,10,0,1,15,22389,58,153,May 13, 2015,
Miller Park,32,3,1,12,29679,68,187,May 13, 2015,
Angel Stadium of Anaheim,1,0,0,14,30129,65,198,May 13, 2015,
Globe Life Park in Arlington,13,2,1,8,26258,67,135,May 13, 2015,
Dodger Stadium,22,2,1,12,38316,66,204,May 13, 2015,
Comerica Park,2394,1,3,16,27163,55,187,May 13, 2015,
Tropicana Field,12,1,0,13,11924,72,161,May 13, 2015,
Wrigley Field,17,0,0,13,33709,43,157,May 13, 2015,
Citizens Bank Park,2681,0,0,12,29576,67,157,May 13, 2015,
Safeco Field,680,2,0,16,14547,56,179,May 13, 2015,
