team,game_id,runs_for,h,d,t,hr,tb,bb,sb,sac,sf,sacsf,runs_against,qs,so,saves,holds,batting_team,pitching_team,
mil,2015/06/07/milmlb-minmlb-1,0,8,1,0,0,9,2,0,0,0,0,2,0,5,0,0,No-Talent Ass Clowns,Detroit Noojies (aka dbags),
ari,2015/06/07/nynmlb-arimlb-1,3,5,1,0,0,6,3,0,0,1,1,6,0,3,0,0,No-Talent Ass Clowns,Dr. Watson,
nyn,2015/06/07/nynmlb-arimlb-1,6,11,2,0,4,25,4,4,0,0,0,3,1,10,1,1,,Dr. Watson,
bos,2015/06/07/oakmlb-bosmlb-1,7,13,3,0,1,19,2,1,0,1,1,4,0,8,1,0,Dr. Watson,,
oak,2015/06/07/oakmlb-bosmlb-1,4,11,5,0,0,16,3,1,0,0,0,7,1,7,0,1,The Rube,Buena Vista Bottoms,
atl,2015/06/07/pitmlb-atlmlb-1,0,6,1,0,0,7,4,0,0,0,0,3,0,8,0,0,Damnedest of the Nice,Damnedest of the Nice,
pit,2015/06/07/pitmlb-atlmlb-1,3,10,1,0,0,11,2,1,1,0,1,0,1,10,1,1,Paly Players,The Rube,
cin,2015/06/07/sdnmlb-cinmlb-1,4,10,2,0,2,18,0,0,1,0,1,0,1,11,0,0,Detroit Noojies (aka dbags),The Rube,
sdn,2015/06/07/sdnmlb-cinmlb-1,0,4,2,0,0,6,2,0,0,0,0,4,0,6,0,0,No-Talent Ass Clowns,Dr. Watson,
phi,2015/06/07/sfnmlb-phimlb-1,6,10,3,0,2,19,2,0,1,0,1,4,1,4,1,0,,,
sfn,2015/06/07/sfnmlb-phimlb-1,4,10,4,0,0,14,4,2,0,0,0,6,0,7,0,0,Portlandia Misfits,Portlandia Misfits,
lan,2015/06/07/slnmlb-lanmlb-1,2,7,1,0,0,8,2,1,0,0,0,4,1,9,0,1,Detroit Noojies (aka dbags),Buena Vista Bottoms,
sln,2015/06/07/slnmlb-lanmlb-1,4,9,3,1,1,17,2,0,1,0,1,2,0,10,1,2,Paly Players,No-Talent Ass Clowns,
sea,2015/06/07/tbamlb-seamlb-1,1,7,1,0,0,8,0,0,0,0,0,3,1,5,0,0,,The Rube,
tba,2015/06/07/tbamlb-seamlb-1,3,5,0,0,1,8,1,0,1,1,2,1,1,13,1,1,Dr. Watson,Damnedest of the Nice,
kca,2015/06/07/texmlb-kcamlb-1,4,9,4,0,1,16,1,0,0,2,2,3,1,7,1,0,Paly Players,Paly Players,
tex,2015/06/07/texmlb-kcamlb-1,3,6,2,0,0,8,2,0,0,0,0,4,1,6,0,0,Damnedest of the Nice,Paly Players,
lan,2015/06/08/arimlb-lanmlb-1,9,10,1,0,2,17,1,0,0,0,0,3,1,10,0,0,Detroit Noojies (aka dbags),Buena Vista Bottoms,
ari,2015/06/08/arimlb-lanmlb-1,3,5,1,0,0,6,2,0,0,0,0,9,0,5,0,0,No-Talent Ass Clowns,Dr. Watson,
cha,2015/06/08/houmlb-chamlb-1,3,4,1,0,1,8,0,0,0,0,0,1,1,16,1,0,,No-Talent Ass Clowns,
hou,2015/06/08/houmlb-chamlb-1,1,5,2,0,0,7,1,0,0,0,0,3,1,9,0,0,Portlandia Misfits,Paly Players,
min,2015/06/08/kcamlb-minmlb-1,1,8,1,0,1,12,1,0,0,0,0,3,1,5,0,0,Buena Vista Bottoms,,
kca,2015/06/08/kcamlb-minmlb-1,3,8,1,0,1,12,2,0,0,0,0,1,1,6,1,2,Paly Players,Paly Players,
tor,2015/06/08/miamlb-tormlb-1,11,12,4,0,1,19,7,2,0,0,0,3,1,8,0,0,Buena Vista Bottoms,,
mia,2015/06/08/miamlb-tormlb-1,3,8,2,0,1,13,0,1,0,0,0,11,0,7,0,0,The Rube,Buena Vista Bottoms,
pit,2015/06/08/milmlb-pitmlb-1,0,5,1,0,0,6,5,0,1,0,1,2,1,9,0,0,Paly Players,The Rube,
mil,2015/06/08/milmlb-pitmlb-1,2,8,2,0,0,10,1,0,0,0,0,0,1,12,1,2,No-Talent Ass Clowns,Detroit Noojies (aka dbags),
cin,2015/06/08/phimlb-cinmlb-1,6,11,2,0,2,19,2,2,0,0,0,4,1,6,1,2,Detroit Noojies (aka dbags),The Rube,
phi,2015/06/08/phimlb-cinmlb-1,4,10,5,0,0,15,3,0,1,0,1,6,0,9,0,0,,,
atl,2015/06/08/sdnmlb-atlmlb-1,3,11,2,0,0,13,2,1,1,0,1,5,1,10,0,1,Damnedest of the Nice,Damnedest of the Nice,
sdn,2015/06/08/sdnmlb-atlmlb-1,5,9,5,1,0,16,2,3,1,1,2,3,0,9,1,0,No-Talent Ass Clowns,Dr. Watson,
col,2015/06/08/slnmlb-colmlb-1,11,16,4,1,2,28,1,1,0,1,1,3,1,8,0,0,Portlandia Misfits,,
sln,2015/06/08/slnmlb-colmlb-1,3,8,1,0,2,15,0,0,0,1,1,11,0,8,0,0,Paly Players,No-Talent Ass Clowns,
tba,2015/06/09/anamlb-tbamlb-1,2,6,2,0,0,8,2,0,0,0,0,8,0,6,0,0,Dr. Watson,Damnedest of the Nice,
ana,2015/06/09/anamlb-tbamlb-1,8,15,5,0,1,23,2,0,0,0,0,2,1,10,0,1,,No-Talent Ass Clowns,
lan,2015/06/09/arimlb-lanmlb-1,3,7,1,0,1,11,5,0,0,0,0,1,1,6,1,1,Detroit Noojies (aka dbags),Buena Vista Bottoms,
ari,2015/06/09/arimlb-lanmlb-1,1,9,1,0,0,10,1,0,2,0,2,3,1,4,0,0,No-Talent Ass Clowns,Dr. Watson,
bal,2015/06/09/bosmlb-balmlb-1,1,5,1,0,0,6,3,0,1,0,1,0,0,6,1,0,Damnedest of the Nice,,
bos,2015/06/09/bosmlb-balmlb-1,0,5,2,0,0,7,4,0,0,0,0,1,1,8,0,0,Dr. Watson,,
det,2015/06/09/chnmlb-detmlb-1,6,13,4,1,0,19,2,0,0,0,0,0,1,9,0,0,Buena Vista Bottoms,Damnedest of the Nice,
chn,2015/06/09/chnmlb-detmlb-1,0,8,0,0,0,8,2,1,0,0,0,6,0,10,0,0,Detroit Noojies (aka dbags),Portlandia Misfits,
cha,2015/06/09/houmlb-chamlb-1,4,10,1,0,1,14,4,1,0,0,0,2,1,8,1,3,,No-Talent Ass Clowns,
hou,2015/06/09/houmlb-chamlb-1,2,7,2,0,1,12,2,1,0,0,0,4,1,8,0,0,Portlandia Misfits,Paly Players,
min,2015/06/09/kcamlb-minmlb-1,0,1,0,1,0,3,4,1,0,0,0,2,1,6,0,0,Buena Vista Bottoms,,
kca,2015/06/09/kcamlb-minmlb-1,2,9,1,0,1,13,4,1,0,0,0,0,1,5,1,3,Paly Players,Paly Players,
tor,2015/06/09/miamlb-tormlb-1,4,5,1,0,1,9,1,0,0,2,2,3,1,5,0,0,Buena Vista Bottoms,,
mia,2015/06/09/miamlb-tormlb-1,3,10,1,0,3,20,1,0,0,0,0,4,1,9,0,1,The Rube,Buena Vista Bottoms,
pit,2015/06/09/milmlb-pitmlb-1,1,4,2,0,1,9,1,1,0,0,0,4,1,6,0,0,Paly Players,The Rube,
mil,2015/06/09/milmlb-pitmlb-1,4,6,0,0,2,12,1,1,0,0,0,1,1,6,1,1,No-Talent Ass Clowns,Detroit Noojies (aka dbags),
cin,2015/06/09/phimlb-cinmlb-1,11,13,1,0,5,29,2,0,0,0,0,2,1,8,0,0,Detroit Noojies (aka dbags),The Rube,
phi,2015/06/09/phimlb-cinmlb-1,2,11,1,0,0,12,2,1,0,1,1,11,0,8,0,0,,,
atl,2015/06/09/sdnmlb-atlmlb-1,6,11,2,0,1,16,2,0,0,0,0,5,0,5,1,0,Damnedest of the Nice,Damnedest of the Nice,
sdn,2015/06/09/sdnmlb-atlmlb-1,5,14,4,0,1,21,3,1,1,0,1,6,0,7,0,0,No-Talent Ass Clowns,Dr. Watson,
cle,2015/06/09/seamlb-clemlb-1,2,8,0,0,2,14,2,0,0,0,0,3,1,5,0,0,Dr. Watson,Detroit Noojies (aka dbags),
sea,2015/06/09/seamlb-clemlb-1,3,10,5,0,0,15,4,1,0,0,0,2,1,3,1,3,,The Rube,
nyn,2015/06/09/sfnmlb-nynmlb-1,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,,Dr. Watson,
sfn,2015/06/09/sfnmlb-nynmlb-1,5,13,1,0,2,20,2,0,0,0,0,0,1,11,0,0,Portlandia Misfits,Portlandia Misfits,
col,2015/06/09/slnmlb-colmlb-1,4,10,1,0,1,14,2,0,0,0,0,3,1,11,1,2,Portlandia Misfits,,
sln,2015/06/09/slnmlb-colmlb-1,3,4,0,0,2,10,5,1,0,0,0,4,0,13,0,0,Paly Players,No-Talent Ass Clowns,
oak,2015/06/09/texmlb-oakmlb-1,1,5,2,0,0,7,4,0,0,0,0,2,1,9,0,0,The Rube,Buena Vista Bottoms,
tex,2015/06/09/texmlb-oakmlb-1,2,10,0,1,1,15,1,2,0,0,0,1,1,6,1,3,Damnedest of the Nice,Paly Players,
nya,2015/06/09/wasmlb-nyamlb-1,6,13,2,0,2,21,2,0,0,0,0,1,1,7,0,0,,Portlandia Misfits,
was,2015/06/09/wasmlb-nyamlb-1,1,6,2,0,1,11,1,0,0,0,0,6,0,7,0,0,The Rube,Detroit Noojies (aka dbags),
tba,2015/06/10/anamlb-tbamlb-1,4,9,3,0,1,15,3,1,0,0,0,2,0,8,1,3,Dr. Watson,Damnedest of the Nice,
ana,2015/06/10/anamlb-tbamlb-1,2,7,0,0,0,7,1,0,0,0,0,4,0,1,0,0,,No-Talent Ass Clowns,
lan,2015/06/10/arimlb-lanmlb-1,7,9,2,0,2,17,5,0,2,1,3,6,0,5,0,4,Detroit Noojies (aka dbags),Buena Vista Bottoms,
ari,2015/06/10/arimlb-lanmlb-1,6,11,1,0,3,21,2,1,1,1,2,7,0,8,0,0,No-Talent Ass Clowns,Dr. Watson,
bal,2015/06/10/bosmlb-balmlb-1,5,10,2,0,0,12,2,0,0,1,1,2,0,10,1,1,Damnedest of the Nice,,
bos,2015/06/10/bosmlb-balmlb-1,2,7,2,0,0,9,1,0,0,0,0,5,0,9,0,0,Dr. Watson,,
det,2015/06/10/chnmlb-detmlb-1,3,10,0,1,1,15,1,0,0,0,0,12,0,10,0,0,Buena Vista Bottoms,Damnedest of the Nice,
chn,2015/06/10/chnmlb-detmlb-1,12,16,1,1,2,25,5,0,0,0,0,3,1,11,0,0,Detroit Noojies (aka dbags),Portlandia Misfits,
cha,2015/06/10/houmlb-chamlb-1,4,9,1,0,3,19,6,0,0,0,0,1,1,6,1,1,,No-Talent Ass Clowns,
hou,2015/06/10/houmlb-chamlb-1,1,7,2,0,0,9,2,1,0,1,1,4,0,7,0,0,Portlandia Misfits,Paly Players,
min,2015/06/10/kcamlb-minmlb-1,2,7,0,0,1,10,3,0,0,0,0,7,0,7,0,0,Buena Vista Bottoms,,
kca,2015/06/10/kcamlb-minmlb-1,7,8,0,0,1,11,2,0,0,0,0,2,1,8,0,0,Paly Players,Paly Players,
tor,2015/06/10/miamlb-tormlb-1,7,9,2,0,4,23,2,0,0,1,1,2,1,6,0,0,Buena Vista Bottoms,,
mia,2015/06/10/miamlb-tormlb-1,2,7,2,1,1,14,0,0,0,0,0,7,0,7,0,0,The Rube,Buena Vista Bottoms,
pit,2015/06/10/milmlb-pitmlb-1,2,11,1,0,1,15,2,1,2,0,2,0,1,6,1,1,Paly Players,The Rube,
mil,2015/06/10/milmlb-pitmlb-1,0,3,0,0,0,3,3,0,0,0,0,2,1,4,0,0,No-Talent Ass Clowns,Detroit Noojies (aka dbags),
cin,2015/06/10/phimlb-cinmlb-1,5,11,1,0,1,15,1,0,0,0,0,2,1,4,1,3,Detroit Noojies (aka dbags),The Rube,
phi,2015/06/10/phimlb-cinmlb-1,2,10,2,0,0,12,2,1,0,0,0,5,0,7,0,0,,,
atl,2015/06/10/sdnmlb-atlmlb-1,4,13,0,0,0,13,3,0,0,0,0,1,1,6,1,1,Damnedest of the Nice,Damnedest of the Nice,
sdn,2015/06/10/sdnmlb-atlmlb-1,1,5,2,0,0,7,2,0,0,0,0,4,1,5,0,0,No-Talent Ass Clowns,Dr. Watson,
cle,2015/06/10/seamlb-clemlb-1,3,12,4,0,0,16,2,0,0,0,0,9,0,10,0,0,Dr. Watson,Detroit Noojies (aka dbags),
sea,2015/06/10/seamlb-clemlb-1,9,10,4,0,1,17,7,0,0,0,0,3,1,8,0,0,,The Rube,
nyn,2015/06/10/sfnmlb-nynmlb-1,5,11,3,1,0,16,2,0,0,0,0,8,0,5,0,0,,Dr. Watson,
sfn,2015/06/10/sfnmlb-nynmlb-1,8,14,3,0,3,26,3,0,0,0,0,5,0,10,1,4,Portlandia Misfits,Portlandia Misfits,
col,2015/06/10/slnmlb-colmlb-1,2,8,2,0,1,13,1,0,0,0,0,4,0,9,0,0,Portlandia Misfits,,
sln,2015/06/10/slnmlb-colmlb-1,4,11,2,0,1,16,3,0,0,0,0,2,1,10,1,1,Paly Players,No-Talent Ass Clowns,
oak,2015/06/10/texmlb-oakmlb-1,5,10,1,0,0,11,2,1,0,0,0,4,0,6,0,0,The Rube,Buena Vista Bottoms,
tex,2015/06/10/texmlb-oakmlb-1,4,8,1,0,0,9,4,0,0,1,1,5,1,10,0,1,Damnedest of the Nice,Paly Players,
nya,2015/06/10/wasmlb-nyamlb-1,4,8,2,1,0,12,3,0,0,0,0,5,1,6,0,0,,Portlandia Misfits,
was,2015/06/10/wasmlb-nyamlb-1,5,11,2,0,2,19,3,1,1,0,1,4,1,10,1,0,The Rube,Detroit Noojies (aka dbags),
tba,2015/06/11/anamlb-tbamlb-1,2,5,1,0,1,9,1,0,0,0,0,6,0,8,0,1,Dr. Watson,Damnedest of the Nice,
ana,2015/06/11/anamlb-tbamlb-1,6,14,1,0,2,21,4,1,0,0,0,2,1,9,0,1,,No-Talent Ass Clowns,
bal,2015/06/11/bosmlb-balmlb-1,6,10,2,0,3,21,2,0,0,1,1,5,0,6,1,2,Damnedest of the Nice,,
bos,2015/06/11/bosmlb-balmlb-1,5,8,2,0,1,13,2,0,0,1,1,6,0,5,0,0,Dr. Watson,,
chn,2015/06/11/cinmlb-chnmlb-1,6,8,3,0,2,17,5,0,0,0,0,3,0,6,1,3,Detroit Noojies (aka dbags),Portlandia Misfits,
cin,2015/06/11/cinmlb-chnmlb-1,3,6,1,1,1,12,2,0,0,0,0,6,0,10,0,0,Detroit Noojies (aka dbags),The Rube,
mia,2015/06/11/colmlb-miamlb-1,6,13,2,1,2,23,3,1,0,0,0,0,1,8,0,0,The Rube,Buena Vista Bottoms,
col,2015/06/11/colmlb-miamlb-1,0,5,1,0,0,6,1,0,0,0,0,6,0,5,0,0,Portlandia Misfits,,
atl,2015/06/11/sdnmlb-atlmlb-1,4,7,2,0,1,12,6,0,1,1,2,6,1,12,0,1,Damnedest of the Nice,Damnedest of the Nice,
sdn,2015/06/11/sdnmlb-atlmlb-1,6,7,0,0,0,7,7,1,0,0,0,4,1,5,1,0,No-Talent Ass Clowns,Dr. Watson,
cle,2015/06/11/seamlb-clemlb-1,6,10,1,0,1,14,3,0,0,0,0,0,1,7,0,0,Dr. Watson,Detroit Noojies (aka dbags),
sea,2015/06/11/seamlb-clemlb-1,0,2,1,0,0,3,0,0,0,0,0,6,0,10,0,0,,The Rube,
nyn,2015/06/11/sfnmlb-nynmlb-1,5,9,4,0,0,13,4,0,0,1,1,4,1,4,0,0,,Dr. Watson,
sfn,2015/06/11/sfnmlb-nynmlb-1,4,6,0,0,1,9,3,0,1,0,1,5,0,7,0,0,Portlandia Misfits,Portlandia Misfits,
oak,2015/06/11/texmlb-oakmlb-1,7,11,1,0,2,18,6,2,0,1,1,0,1,6,0,0,The Rube,Buena Vista Bottoms,
tex,2015/06/11/texmlb-oakmlb-1,0,1,0,0,0,1,2,0,0,0,0,7,1,4,0,0,Damnedest of the Nice,Paly Players,
mil,2015/06/11/wasmlb-milmlb-1,6,10,1,1,1,16,2,0,0,0,0,5,1,9,1,0,No-Talent Ass Clowns,Detroit Noojies (aka dbags),
was,2015/06/11/wasmlb-milmlb-1,5,8,1,0,1,12,2,0,0,0,0,6,0,6,0,0,The Rube,Detroit Noojies (aka dbags),
sfn,2015/06/12/arimlb-sfnmlb-1,0,2,0,0,0,2,1,1,0,0,0,1,1,8,0,0,Portlandia Misfits,Portlandia Misfits,
ari,2015/06/12/arimlb-sfnmlb-1,1,11,1,0,0,12,4,0,2,0,2,0,1,3,1,1,No-Talent Ass Clowns,Dr. Watson,
nyn,2015/06/12/atlmlb-nynmlb-1,5,7,2,0,2,15,4,1,0,0,0,3,1,3,1,2,,Dr. Watson,
atl,2015/06/12/atlmlb-nynmlb-1,3,9,2,0,0,11,6,0,1,0,1,5,0,7,0,0,Damnedest of the Nice,Damnedest of the Nice,
tba,2015/06/12/chamlb-tbamlb-1,7,14,1,0,0,15,2,1,2,1,3,5,0,8,1,3,Dr. Watson,Damnedest of the Nice,
cha,2015/06/12/chamlb-tbamlb-1,5,9,0,0,1,12,1,0,0,1,1,7,0,7,0,0,,No-Talent Ass Clowns,
chn,2015/06/12/cinmlb-chnmlb-1,4,8,2,0,1,13,3,0,1,0,1,5,0,12,0,0,Detroit Noojies (aka dbags),Portlandia Misfits,
cin,2015/06/12/cinmlb-chnmlb-1,5,9,3,0,1,15,4,3,0,0,0,4,0,11,1,0,Detroit Noojies (aka dbags),The Rube,
det,2015/06/12/clemlb-detmlb-1,4,9,1,1,1,15,2,1,0,0,0,0,1,8,0,0,Buena Vista Bottoms,Damnedest of the Nice,
cle,2015/06/12/clemlb-detmlb-1,0,7,1,0,0,8,0,0,0,0,0,4,1,6,0,0,Dr. Watson,Detroit Noojies (aka dbags),
mia,2015/06/12/colmlb-miamlb-1,5,8,1,0,2,15,4,2,0,0,0,1,1,5,0,2,The Rube,Buena Vista Bottoms,
col,2015/06/12/colmlb-miamlb-1,1,7,2,0,1,12,0,0,0,0,0,5,1,4,0,0,Portlandia Misfits,,
sln,2015/06/12/kcamlb-slnmlb-1,4,8,1,2,0,13,4,0,0,1,1,0,1,6,0,0,Paly Players,No-Talent Ass Clowns,
kca,2015/06/12/kcamlb-slnmlb-1,0,5,0,0,0,5,0,0,0,0,0,4,0,7,0,0,Paly Players,Paly Players,
sdn,2015/06/12/lanmlb-sdnmlb-1,3,7,1,0,2,14,3,1,0,0,0,4,1,6,0,0,No-Talent Ass Clowns,Dr. Watson,
lan,2015/06/12/lanmlb-sdnmlb-1,4,11,1,0,0,12,4,0,1,0,1,3,1,16,1,2,Detroit Noojies (aka dbags),Buena Vista Bottoms,
tex,2015/06/12/minmlb-texmlb-1,6,6,1,0,1,10,3,1,0,0,0,2,1,7,0,0,Damnedest of the Nice,Paly Players,
min,2015/06/12/minmlb-texmlb-1,2,5,0,0,1,8,3,0,0,1,1,6,1,8,0,0,Buena Vista Bottoms,,
bal,2015/06/12/nyamlb-balmlb-1,11,16,2,0,2,24,2,0,0,0,0,3,0,11,0,1,Damnedest of the Nice,,
nya,2015/06/12/nyamlb-balmlb-1,3,9,0,0,1,12,3,1,0,0,0,11,0,4,0,0,,Portlandia Misfits,
ana,2015/06/12/oakmlb-anamlb-1,5,9,2,0,2,17,3,0,0,0,0,4,0,9,1,0,,No-Talent Ass Clowns,
oak,2015/06/12/oakmlb-anamlb-1,4,10,1,0,3,20,2,2,0,0,0,5,1,3,0,0,The Rube,Buena Vista Bottoms,
pit,2015/06/12/phimlb-pitmlb-1,1,13,1,0,0,14,5,0,2,0,2,0,1,7,0,0,Paly Players,The Rube,
phi,2015/06/12/phimlb-pitmlb-1,0,11,1,0,0,12,3,0,1,0,1,1,0,12,0,0,,,
hou,2015/06/12/seamlb-houmlb-1,10,11,2,0,4,25,5,0,0,0,0,0,1,8,0,0,Portlandia Misfits,Paly Players,
sea,2015/06/12/seamlb-houmlb-1,0,4,0,0,0,4,3,0,0,0,0,10,0,10,0,0,,The Rube,
bos,2015/06/12/tormlb-bosmlb-1,10,12,2,0,3,23,7,0,0,0,0,13,0,4,0,0,Dr. Watson,,
tor,2015/06/12/tormlb-bosmlb-1,13,15,2,2,1,24,2,0,0,0,0,10,0,8,1,0,Buena Vista Bottoms,,
mil,2015/06/12/wasmlb-milmlb-1,8,16,6,0,0,22,1,1,0,0,0,4,1,11,0,0,No-Talent Ass Clowns,Detroit Noojies (aka dbags),
was,2015/06/12/wasmlb-milmlb-1,4,6,2,0,2,14,4,0,0,0,0,8,0,8,0,0,The Rube,Detroit Noojies (aka dbags),
sfn,2015/06/13/arimlb-sfnmlb-1,2,4,3,0,0,7,3,0,0,1,1,4,0,6,0,0,Portlandia Misfits,Portlandia Misfits,
ari,2015/06/13/arimlb-sfnmlb-1,4,7,0,0,0,7,5,1,0,0,0,2,0,4,1,2,No-Talent Ass Clowns,Dr. Watson,
nyn,2015/06/13/atlmlb-nynmlb-1,3,11,4,0,0,15,2,0,0,0,0,5,1,12,0,3,,Dr. Watson,
atl,2015/06/13/atlmlb-nynmlb-1,5,13,2,0,1,18,3,1,3,0,3,3,1,8,1,0,Damnedest of the Nice,Damnedest of the Nice,
tba,2015/06/13/chamlb-tbamlb-1,5,9,1,2,0,14,2,2,0,0,0,4,1,9,1,0,Dr. Watson,Damnedest of the Nice,
cha,2015/06/13/chamlb-tbamlb-1,4,9,0,0,1,12,2,0,0,0,0,5,1,8,0,0,,No-Talent Ass Clowns,
chn,2015/06/13/cinmlb-chnmlb-1,4,11,4,0,1,18,0,0,1,0,1,3,0,11,0,0,Detroit Noojies (aka dbags),Portlandia Misfits,
cin,2015/06/13/cinmlb-chnmlb-1,3,9,1,0,2,16,1,1,0,0,0,4,0,2,0,0,Detroit Noojies (aka dbags),The Rube,
det,2015/06/13/clemlb-detmlb-1,4,12,2,1,1,19,2,1,0,0,0,5,0,4,0,0,Buena Vista Bottoms,Damnedest of the Nice,
cle,2015/06/13/clemlb-detmlb-1,5,8,1,1,1,14,5,0,0,2,2,4,0,12,1,2,Dr. Watson,Detroit Noojies (aka dbags),
mia,2015/06/13/colmlb-miamlb-1,4,4,1,0,1,8,4,2,0,0,0,1,1,15,1,2,The Rube,Buena Vista Bottoms,
col,2015/06/13/colmlb-miamlb-1,1,5,1,1,0,8,2,2,0,0,0,4,0,6,0,0,Portlandia Misfits,,
sln,2015/06/13/kcamlb-slnmlb-1,3,10,0,1,1,15,2,1,1,0,1,2,0,10,1,4,Paly Players,No-Talent Ass Clowns,
kca,2015/06/13/kcamlb-slnmlb-1,2,5,1,0,2,12,2,1,1,0,1,3,0,7,0,0,Paly Players,Paly Players,
sdn,2015/06/13/lanmlb-sdnmlb-1,2,8,1,0,1,12,1,1,0,0,0,1,1,6,1,0,No-Talent Ass Clowns,Dr. Watson,
lan,2015/06/13/lanmlb-sdnmlb-1,1,5,0,0,1,8,1,0,0,0,0,2,1,7,0,0,Detroit Noojies (aka dbags),Buena Vista Bottoms,
tex,2015/06/13/minmlb-texmlb-1,11,15,5,0,2,26,5,0,0,0,0,7,1,7,0,0,Damnedest of the Nice,Paly Players,
min,2015/06/13/minmlb-texmlb-1,7,9,7,0,0,16,2,0,0,0,0,11,0,2,0,0,Buena Vista Bottoms,,
bal,2015/06/13/nyamlb-balmlb-1,9,15,3,1,3,29,0,0,0,0,0,4,0,9,0,0,Damnedest of the Nice,,
nya,2015/06/13/nyamlb-balmlb-1,4,11,5,0,1,19,2,0,0,0,0,9,0,4,0,0,,Portlandia Misfits,
ana,2015/06/13/oakmlb-anamlb-1,1,8,0,0,1,11,0,0,0,0,0,0,1,10,1,1,,No-Talent Ass Clowns,
oak,2015/06/13/oakmlb-anamlb-1,0,2,1,0,0,3,4,0,0,0,0,1,1,7,0,0,The Rube,Buena Vista Bottoms,
pit,2015/06/13/phimlb-pitmlb-1,4,8,1,0,0,9,4,1,1,0,1,3,1,8,1,2,Paly Players,The Rube,
phi,2015/06/13/phimlb-pitmlb-1,3,9,3,0,0,12,1,2,0,1,1,4,0,3,0,0,,,
hou,2015/06/13/seamlb-houmlb-1,1,6,3,0,0,9,5,0,0,0,0,8,0,7,0,0,Portlandia Misfits,Paly Players,
sea,2015/06/13/seamlb-houmlb-1,8,13,3,0,2,22,2,0,0,1,1,1,1,7,0,0,,The Rube,
bos,2015/06/13/tormlb-bosmlb-1,4,9,2,0,1,14,1,0,0,0,0,5,0,9,0,0,Dr. Watson,,
tor,2015/06/13/tormlb-bosmlb-1,5,12,0,0,1,15,1,0,0,0,0,4,1,10,1,0,Buena Vista Bottoms,,
mil,2015/06/13/wasmlb-milmlb-1,2,8,2,0,0,10,1,0,0,0,0,7,0,7,0,0,No-Talent Ass Clowns,Detroit Noojies (aka dbags),
was,2015/06/13/wasmlb-milmlb-1,7,11,1,0,2,18,2,1,0,0,0,2,1,8,0,0,The Rube,Detroit Noojies (aka dbags),
sfn,2015/06/14/arimlb-sfnmlb-1,0,8,1,0,0,9,3,0,0,0,0,4,0,11,0,0,Portlandia Misfits,Portlandia Misfits,
ari,2015/06/14/arimlb-sfnmlb-1,4,8,2,0,0,10,5,2,0,1,1,0,1,7,1,0,No-Talent Ass Clowns,Dr. Watson,
nyn,2015/06/14/atlmlb-nynmlb-1,10,14,2,0,4,28,4,1,0,0,0,8,0,7,1,2,,Dr. Watson,
atl,2015/06/14/atlmlb-nynmlb-1,8,14,3,0,1,20,3,1,0,0,0,10,0,9,0,0,Damnedest of the Nice,Damnedest of the Nice,
tba,2015/06/14/chamlb-tbamlb-1,2,5,0,0,1,8,3,2,0,0,0,1,1,10,1,1,Dr. Watson,Damnedest of the Nice,
cha,2015/06/14/chamlb-tbamlb-1,1,8,2,0,0,10,1,1,0,0,0,2,1,13,0,0,,No-Talent Ass Clowns,
chn,2015/06/14/cinmlb-chnmlb-1,2,8,4,0,0,12,2,0,1,1,2,1,1,7,0,0,Detroit Noojies (aka dbags),Portlandia Misfits,
cin,2015/06/14/cinmlb-chnmlb-1,1,7,4,0,0,11,4,5,0,0,0,2,1,10,0,0,Detroit Noojies (aka dbags),The Rube,
det,2015/06/14/clemlb-detmlb-1,8,10,1,0,2,17,2,1,0,0,0,1,0,7,0,1,Buena Vista Bottoms,Damnedest of the Nice,
cle,2015/06/14/clemlb-detmlb-1,1,8,0,0,1,11,1,0,0,0,0,8,0,5,0,0,Dr. Watson,Detroit Noojies (aka dbags),
mia,2015/06/14/colmlb-miamlb-1,1,5,1,0,0,6,5,1,1,0,1,4,1,9,0,0,The Rube,Buena Vista Bottoms,
col,2015/06/14/colmlb-miamlb-1,4,5,1,0,2,12,5,1,0,0,0,1,1,8,1,2,Portlandia Misfits,,
sln,2015/06/14/kcamlb-slnmlb-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paly Players,No-Talent Ass Clowns,
kca,2015/06/14/kcamlb-slnmlb-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paly Players,Paly Players,
sdn,2015/06/14/lanmlb-sdnmlb-1,2,11,0,0,0,11,4,1,1,0,1,4,1,12,0,0,No-Talent Ass Clowns,Dr. Watson,
lan,2015/06/14/lanmlb-sdnmlb-1,4,10,3,1,1,18,7,0,1,0,1,2,0,15,1,0,Detroit Noojies (aka dbags),Buena Vista Bottoms,
tex,2015/06/14/minmlb-texmlb-1,3,9,2,0,2,17,2,0,0,0,0,4,1,7,0,0,Damnedest of the Nice,Paly Players,
min,2015/06/14/minmlb-texmlb-1,4,11,4,4,1,26,3,0,0,0,0,3,1,6,1,0,Buena Vista Bottoms,,
bal,2015/06/14/nyamlb-balmlb-1,3,6,1,0,0,7,5,0,0,0,0,5,0,7,0,0,Damnedest of the Nice,,
nya,2015/06/14/nyamlb-balmlb-1,5,10,3,0,0,13,4,0,0,1,1,3,0,10,1,1,,Portlandia Misfits,
