team,first_name,last_name,player,date,gamekey,status,pitcherp,W,SV,ER,QS,DP,HR,SB,H,ASS,BB
Pierzinskis Misspelled D-Bags,Howie,Kendrick,435062,2014-07-07,2014_07_07_tormlb_anamlb_1,F,0,0,0,0,0,0,0,0,3,3,0
Pierzinskis Misspelled D-Bags,Howie,Kendrick,435062,2014-07-08,2014_07_08_tormlb_anamlb_1,F,0,0,0,0,0,0,0,0,1,6,0
Pierzinskis Misspelled D-Bags,Howie,Kendrick,435062,2014-07-09,2014_07_09_tormlb_anamlb_1,F,0,0,0,0,0,0,0,0,1,2,0
Pierzinskis Misspelled D-Bags,Howie,Kendrick,435062,2014-07-10,2014_07_10_anamlb_texmlb_1,F,0,0,0,0,0,0,0,0,0,1,0
Pierzinskis Misspelled D-Bags,Howie,Kendrick,435062,2014-07-11,2014_07_11_anamlb_texmlb_1,F,0,0,0,0,0,0,0,0,0,2,0
Pierzinskis Misspelled D-Bags,Howie,Kendrick,435062,2014-07-12,2014_07_12_anamlb_texmlb_1,F,0,0,0,0,0,0,0,0,3,0,0
Pierzinskis Misspelled D-Bags,Starling,Marte,516782,2014-07-01,2014_07_01_arimlb_pitmlb_1,F,0,0,0,0,0,0,0,0,1,0,0
Pierzinskis Misspelled D-Bags,Starling,Marte,516782,2014-07-02,2014_07_02_arimlb_pitmlb_1,F,0,0,0,0,0,0,0,1,1,0,1
Pierzinskis Misspelled D-Bags,Starling,Marte,516782,2014-07-03,2014_07_03_arimlb_pitmlb_1,F,0,0,0,0,0,0,0,1,1,0,0
Pierzinskis Misspelled D-Bags,Starling,Marte,516782,2014-07-04,2014_07_04_phimlb_pitmlb_1,F,0,0,0,0,0,0,0,1,1,0,1
Pierzinskis Misspelled D-Bags,Starling,Marte,516782,2014-07-05,2014_07_05_phimlb_pitmlb_1,F,0,0,0,0,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Starling,Marte,516782,2014-07-06,2014_07_06_phimlb_pitmlb_1,F,0,0,0,0,0,0,0,0,1,0,0
Pierzinskis Misspelled D-Bags,Starling,Marte,516782,2014-07-07,2014_07_07_pitmlb_slnmlb_1,F,0,0,0,0,0,0,0,0,2,0,0
Pierzinskis Misspelled D-Bags,Starling,Marte,516782,2014-07-08,2014_07_08_pitmlb_slnmlb_1,F,0,0,0,0,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-01,2014_07_01_tbamlb_nyamlb_1,F,0,0,0,0,0,0,0,0,2,3,0
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-02,2014_07_02_tbamlb_nyamlb_1,F,0,0,0,0,0,0,0,0,0,1,2
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-03,2014_07_03_tbamlb_detmlb_1,F,0,0,0,0,0,0,0,0,0,4,0
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-04,2014_07_04_tbamlb_detmlb_1,F,0,0,0,0,0,0,1,0,2,4,2
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-05,2014_07_05_tbamlb_detmlb_1,F,0,0,0,0,0,0,0,1,1,2,2
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-06,2014_07_06_tbamlb_detmlb_1,F,0,0,0,0,0,0,0,0,1,2,0
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-07,2014_07_07_kcamlb_tbamlb_1,F,0,0,0,0,0,0,0,0,0,4,0
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-08,2014_07_08_kcamlb_tbamlb_1,F,0,0,0,0,0,0,0,0,1,2,0
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-09,2014_07_09_kcamlb_tbamlb_1,F,0,0,0,0,0,0,0,0,1,4,1
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-11,2014_07_11_tormlb_tbamlb_1,F,0,0,0,0,0,0,0,0,0,0,1
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-12,2014_07_12_tormlb_tbamlb_1,F,0,0,0,0,0,0,0,0,0,1,0
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-01,2014_07_01_texmlb_balmlb_1,F,0,0,0,0,0,0,0,0,0,3,0
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-02,2014_07_02_texmlb_balmlb_1,F,0,0,0,0,0,0,0,0,0,0,1
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-03,2014_07_03_texmlb_balmlb_1,F,0,0,0,0,0,0,0,0,3,2,0
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-04,2014_07_04_texmlb_nynmlb_1,F,0,0,0,0,0,0,0,1,3,0,0
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-05,2014_07_05_texmlb_nynmlb_1,F,0,0,0,0,0,0,0,0,1,3,0
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-06,2014_07_06_texmlb_nynmlb_1,F,0,0,0,0,0,0,0,0,0,0,1
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-07,2014_07_07_houmlb_texmlb_1,F,0,0,0,0,0,0,0,0,2,3,0
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-08,2014_07_08_houmlb_texmlb_1,F,0,0,0,0,0,0,0,0,1,3,0
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-09,2014_07_09_houmlb_texmlb_1,F,0,0,0,0,0,0,0,0,1,5,0
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-10,2014_07_10_anamlb_texmlb_1,F,0,0,0,0,0,0,0,0,0,2,0
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-11,2014_07_11_anamlb_texmlb_1,F,0,0,0,0,0,0,0,0,1,1,0
Pierzinskis Misspelled D-Bags,Elvis,Andrus,462101,2014-07-12,2014_07_12_anamlb_texmlb_1,F,0,0,0,0,0,0,0,1,0,2,0
Pierzinskis Misspelled D-Bags,Miguel,Montero,471083,2014-07-01,2014_07_01_arimlb_pitmlb_1,F,0,0,0,0,0,0,0,0,1,1,0
Pierzinskis Misspelled D-Bags,Miguel,Montero,471083,2014-07-02,2014_07_02_arimlb_pitmlb_1,F,0,0,0,0,0,0,0,0,0,1,1
Pierzinskis Misspelled D-Bags,Miguel,Montero,471083,2014-07-03,2014_07_03_arimlb_pitmlb_1,F,0,0,0,0,0,0,0,0,1,2,1
Pierzinskis Misspelled D-Bags,Miguel,Montero,471083,2014-07-04,2014_07_04_arimlb_atlmlb_1,F,0,0,0,0,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Miguel,Montero,471083,2014-07-05,2014_07_05_arimlb_atlmlb_1,F,0,0,0,0,0,0,0,0,3,2,0
Pierzinskis Misspelled D-Bags,Miguel,Montero,471083,2014-07-07,2014_07_07_miamlb_arimlb_1,F,0,0,0,0,0,0,0,0,1,0,0
Pierzinskis Misspelled D-Bags,Miguel,Montero,471083,2014-07-09,2014_07_09_miamlb_arimlb_1,F,0,0,0,0,0,0,0,0,1,0,0
Pierzinskis Misspelled D-Bags,Miguel,Montero,471083,2014-07-11,2014_07_11_arimlb_sfnmlb_1,F,0,0,0,0,0,0,0,0,1,2,0
Pierzinskis Misspelled D-Bags,Miguel,Montero,471083,2014-07-12,2014_07_12_arimlb_sfnmlb_1,F,0,0,0,0,0,0,0,0,0,0,1
Pierzinskis Misspelled D-Bags,Joey,Votto,458015,2014-07-01,2014_07_01_cinmlb_sdnmlb_1,F,0,0,0,0,0,0,0,0,1,1,1
Pierzinskis Misspelled D-Bags,Joey,Votto,458015,2014-07-02,2014_07_02_cinmlb_sdnmlb_1,F,0,0,0,0,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Joey,Votto,458015,2014-07-04,2014_07_04_milmlb_cinmlb_1,F,0,0,0,0,0,0,0,0,1,0,0
Pierzinskis Misspelled D-Bags,Joey,Votto,458015,2014-07-05,2014_07_05_milmlb_cinmlb_1,F,0,0,0,0,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Clayton,Kershaw,477132,2014-07-04,2014_07_04_lanmlb_colmlb_1,F,1,1,0,0,1,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Clayton,Kershaw,477132,2014-07-10,2014_07_10_sdnmlb_lanmlb_1,F,1,1,0,1,1,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Trevor,Rosenthal,572096,2014-07-02,2014_07_02_slnmlb_sfnmlb_1,F,1,0,1,0,0,0,0,0,0,0,0
