bref_id,mlb_depth,debut,espn_id,cbs_name,mlb_name,bref_name,bats,lahman_id,retro_id,espn_pos,nfbc_id,yahoo_name,espn_name,yahoo_pos,nfbc_name,birth_year,mlb_id,fg_name,retro_name,wb_years,cbs_id,yahoo_id,mlb_team,bp_id,cbs_pos,nfbc_pos,mlb_team_long,fg_id,throws,mlb_pos
,,,32618,Kevan Smith,Kevan Smith,,R,,,C,,,Kevan Smith,,,1988,607345,Kevan Smith,,0,2036155,,CWS,69944,C,,Chicago White Sox,sa599392,R,C
chapmke02,,8/9/2013,31691,Kevin Chapman,Kevin Chapman,Kevin Chapman,L,chapmke02,chapk002,RP,9487,Kevin Chapman,Kevin Chapman,RP,Kevin Chapman,1988,502087,Kevin Chapman,Kevin Chapman,0.128,1960523,9487,HOU,65805,RP,P,Houston Astros,11240,L,P
correke01,,7/10/2003,5580,Kevin Correia,Kevin Correia,Kevin Correia,R,correke01,corrk001,SP,7178,Kevin Correia,Kevin Correia,SP,Kevin Correia,1980,429781,Kevin Correia,Kevin Correia,-1,401204,7178,PHI,34159,SP,P,Philadelphia Phillies,1767,R,P
frandke01,,4/28/2006,6528,Kevin Frandsen,Kevin Frandsen,Kevin Frandsen,R,frandke01,frank001,2B,7749,Kevin Frandsen,Kevin Frandsen,LF/2B,Kevin Frandsen,1982,435623,Kevin Frandsen,Kevin Frandsen,-1,546041,7749,SF,46014,2B,LF,San Francisco Giants,7528,R,1B
gausmke01,SP5,5/23/2013,32667,Kevin Gausman,Kevin Gausman,Kevin Gausman,L,gausmke01,gausk001,SP,9334,Kevin Gausman,Kevin Gausman,RP/SP,Kevin Gausman,1991,592332,Kevin Gausman,Kevin Gausman,1.151,2000033,9334,BAL,68557,SP,P,Baltimore Orioles,14107,R,P
greggke01,,8/9/2003,5641,Kevin Gregg,Kevin Gregg,Kevin Gregg,R,greggke01,gregk001,RP,7206,Kevin Gregg,Kevin Gregg,RP,Kevin Gregg,1978,276514,Kevin Gregg,Kevin Gregg,-1,174914,7206,CIN,36308,RP,P,Cincinnati Reds,1793,R,P
jepseke01,RP3,9/8/2008,29265,Kevin Jepsen,Kevin Jepsen,Kevin Jepsen,R,jepseke01,jepsk001,RP,8380,Kevin Jepsen,Kevin Jepsen,RP,Kevin Jepsen,1984,448178,Kevin Jepsen,Kevin Jepsen,5.163,1209013,8380,MIN,45544,RP,P,Minnesota Twins,6475,R,P
kiermke01,CF1,9/30/2013,31446,Kevin Kiermaier,Kevin Kiermaier,Kevin Kiermaier,L,kiermke01,kierk001,CF,9538,Kevin Kiermaier,Kevin Kiermaier,CF/RF,Kevin Kiermaier,1990,595281,Kevin Kiermaier,Kevin Kiermaier,1.131,1812666,9538,TB,67964,CF,CF,Tampa Bay Rays,11038,R,CF
kouzmke01,,9/2/2006,28585,Kevin Kouzmanoff,Kevin Kouzmanoff,Kevin Kouzmanoff,R,kouzmke01,kouzk001,3B,7864,Kevin Kouzmanoff,Kevin Kouzmanoff,3B,Kevin Kouzmanoff,1981,450260,Kevin Kouzmanoff,Kevin Kouzmanoff,-1,486543,7864,TEX,45442,3B,3B,Texas Rangers,5995,R,3B
mattike01,,5/12/2012,30681,Kevin Mattison,Kevin Mattison,Kevin Mattison,L,mattike01,mattk001,CF,9178,Kevin Mattison,Kevin Mattison,CF,Kevin Mattison,1985,543503,Kevin Mattison,Kevin Mattison,-1,1740966,9178,MIA,58426,CF,OF,Miami Marlins,6635,L,CF
,,,31538,Kevin Munson,Kevin Munson,,R,,,RP,,,Kevin Munson,,,1989,576409,Kevin Munson,,0,1918582,,ARI,66733,RP,,Arizona Diamondbacks,sa526289,R,P
pillake01,LF5,8/14/2013,32859,Kevin Pillar,Kevin Pillar,Kevin Pillar,R,pillake01,pillk001,CF,9490,Kevin Pillar,Kevin Pillar,CF/LF,Kevin Pillar,1989,607680,Kevin Pillar,Kevin Pillar,1.113,2046044,9490,TOR,70093,CF,CF,Toronto Blue Jays,12434,R,CF
plaweke01,C2,4/21/2015,33132,Kevin Plawecki,Kevin Plawecki,Kevin Plawecki,R,,plawk001,C,9596,Kevin Plawecki,Kevin Plawecki,C,Kevin Plawecki,1991,608700,Kevin Plawecki,Kevin Plawecki,0.147,2066320,9596,NYM,100316,C,C,New York Mets,13807,R,C
quackke01,RP5,4/25/2014,32396,Kevin Quackenbush,Kevin Quackenbush,Kevin Quackenbush,R,quackke01,quack001,RP,9683,Kevin Quackenbush,Kevin Quackenbush,RP,Kevin Quackenbush,1988,534812,Kevin Quackenbush,Kevin Quackenbush,1.136,1960793,9683,SD,69154,RP,P,San Diego Padres,12360,R,P
siegrke01,RP3,6/6/2013,32059,Kevin Siegrist,Kevin Siegrist,Kevin Siegrist,L,siegrke01,siegk001,RP,9426,Kevin Siegrist,Kevin Siegrist,RP,Kevin Siegrist,1989,543779,Kevin Siegrist,Kevin Siegrist,2.116,1937342,9426,STL,58673,RP,P,St. Louis Cardinals,8180,L,P
sloweke01,,6/1/2007,28692,Kevin Slowey,Kevin Slowey,Kevin Slowey,R,sloweke01,slowk001,RP,7968,Kevin Slowey,Kevin Slowey,SP/RP,Kevin Slowey,1984,458713,Kevin Slowey,Kevin Slowey,-1,1102931,7968,PHI,46650,RP,P,Philadelphia Phillies,9918,R,P
whelake01,,6/10/2011,30530,Kevin Whelan,Kevin Whelan,Kevin Whelan,R,whelake01,whelk001,RP,8964,Kevin Whelan,Kevin Whelan,RP,Kevin Whelan,1984,460128,Kevin Whelan,Kevin Whelan,-1,1200060,8964,DET,48987,RP,P,Detroit Tigers,3462,R,P
sampske01,RP9,7/30/2015,31932,Keyvius Sampson,Keyvius Sampson,Keyvius Sampson,R,,sampk001,SP,10033,Keyvius Sampson,Keyvius Sampson,SP,Keyvius Sampson,1991,572102,Keyvius Sampson,Keyvius Sampson,0.067,1846228,10033,CIN,60665,SP,P,Cincinnati Reds,10039,R,P
daviskh01,LF1,4/1/2013,31478,Khris Davis,Khris Davis,Khris Davis,R,daviskh01,davik003,LF,9351,Khris Davis,Khris Davis,LF,Khris Davis,1987,501981,Khris Davis,Khris Davis,2.104,1813268,9351,OAK,59265,LF,LF,Oakland Athletics,9112,R,LF
kaaihki01,,9/4/2008,29248,Kila Ka'aihue,Kila Ka'aihue,Kila Ka'aihue,L,kaaihki01,kaaik001,1B,8363,Kila Ka'aihue,Kila Ka'aihue,1B,Kila Ka'aihue,1984,451500,Kila Ka'aihue,Kila Ka'aihue,-1,1208721,8363,OAK,46188,1B,1B,Oakland Athletics,4707,R,1B
yateski01,,6/7/2014,32623,Kirby Yates,Kirby Yates,Kirby Yates,L,yateski01,yatek001,RP,9727,Kirby Yates,Kirby Yates,RP,Kirby Yates,1987,489446,Kirby Yates,Kirby Yates,1.066,2036146,9727,NYY,59239,RP,P,New York Yankees,9073,R,P
nieuwki01,CF1,4/7/2012,30218,Kirk Nieuwenhuis,Kirk Nieuwenhuis,Kirk Nieuwenhuis,L,nieuwki01,nieuk001,LF,9152,Kirk Nieuwenhuis,Kirk Nieuwenhuis,LF/CF,Kirk Nieuwenhuis,1987,543590,Kirk Nieuwenhuis,Kirk Nieuwenhuis,2.112,1667064,9152,MIL,58495,LF,LF,Milwaukee Brewers,6400,R,LF
ueharko01,RP2,4/8/2009,30130,Koji Uehara,Koji Uehara,Koji Uehara,R,ueharko01,uehak001,RP,8394,Koji Uehara,Koji Uehara,RP,Koji Uehara,1975,493157,Koji Uehara,Koji Uehara,7.0,1657590,8394,BOS,44014,RP,P,Boston Red Sox,9227,R,P
calhoko01,RF1,5/22/2012,31413,Kole Calhoun,Kole Calhoun,Kole Calhoun,L,calhoko01,calhk001,RF,9191,Kole Calhoun,Kole Calhoun,RF,Kole Calhoun,1987,594777,Kole Calhoun,Kole Calhoun,2.13,1811964,9191,LAA,67728,RF,RF,Los Angeles Angels,11200,L,RF
wongko01,2B1,8/16/2013,32061,Kolten Wong,Kolten Wong,Kolten Wong,L,wongko01,wongk001,2B,9103,Kolten Wong,Kolten Wong,2B,Kolten Wong,1990,543939,Kolten Wong,Kolten Wong,2.045,1894637,9103,STL,70262,2B,2B,St. Louis Cardinals,12532,R,2B
hillko01,,9/5/2003,5385,Koyie Hill,Koyie Hill,Koyie Hill,S,hillko01,hillk002,C,7059,Koyie Hill,Koyie Hill,C,Koyie Hill,1979,425542,Koyie Hill,Koyie Hill,-1,288961,7059,PHI,31446,C,C,Philadelphia Phillies,1829,R,C
bryankr01,3B1,4/17/2015,33172,Kris Bryant,Kris Bryant,Kris Bryant,R,,bryak001,3B,9558,Kris Bryant,Kris Bryant,3B,Kris Bryant,1992,592178,Kris Bryant,Kris Bryant,0.171,2071263,9558,CHC,68520,3B,3B,Chicago Cubs,15429,R,3B
johnskr01,,8/18/2013,30163,Kris Johnson,Kris Johnson,Kris Johnson,L,johnskr01,johnk004,SP,9495,Kris Johnson,Kris Johnson,SP,Kris Johnson,1984,453241,Kris Johnson,Kris Johnson,-1,1662779,9495,MIN,51948,SP,P,Minnesota Twins,886,L,P
medlekr01,SP5,5/21/2009,30264,Kris Medlen,Kris Medlen,Kris Medlen,S,medlekr01,medlk001,RP,8475,Kris Medlen,Kris Medlen,RP/SP,Kris Medlen,1985,450665,Kris Medlen,Kris Medlen,6.137,1647778,8475,KC,52344,RP,P,Kansas City Royals,9417,R,P
negrokr01,,6/7/2012,29307,Kris Negron,Kristopher Negron,Kristopher Negron,R,negrokr01,negrk001,SS,9210,Kristopher Negron,Kris Negron,SS/2B,Kristopher Negron,1986,502117,Kristopher Negron,Kristopher Negron,-1,1600292,9210,CIN,50131,SS,SS,Cincinnati Reds,5306,R,2B
suzukku01,C1,6/12/2007,28802,Kurt Suzuki,Kurt Suzuki,Kurt Suzuki,R,suzukku01,suzuk001,C,8052,Kurt Suzuki,Kurt Suzuki,C,Kurt Suzuki,1983,435559,Kurt Suzuki,Kurt Suzuki,8.113,546504,8052,MIN,49076,C,C,Minnesota Twins,8259,R,C
barraky01,RP6,8/7/2015,34830,Kyle Barraclough,Kyle Barraclough,Kyle Barraclough,R,,barrk002,RP,10045,Kyle Barraclough,Kyle Barraclough,RP,Kyle Barraclough,1990,607457,Kyle Barraclough,Kyle Barraclough,0.059,2186085,10045,MIA,71177,RP,P,Miami Marlins,13713,R,P
blankky01,,6/19/2009,29724,Kyle Blanks,Kyle Blanks,Kyle Blanks,R,blankky01,blank002,1B,8413,Kyle Blanks,Kyle Blanks,1B/LF,Kyle Blanks,1986,452035,Kyle Blanks,Kyle Blanks,-1,1543508,8413,TEX,47076,1B,1B,Texas Rangers,49,R,1B
,,,32171,Kyle Crick,Kyle Crick,,L,,,RP,9626,Kyle Crick,Kyle Crick,SP,Kyle Crick,1992,605195,Kyle Crick,,0,1947854,9626,SF,70438,RP,P,San Francisco Giants,sa597770,R,P
crockky01,RP7,5/16/2014,33413,Kyle Crockett,Kyle Crockett,Kyle Crockett,L,crockky01,crock001,RP,9706,Kyle Crockett,Kyle Crockett,RP,Kyle Crockett,1991,641490,Kyle Crockett,Kyle Crockett,1.033,2120406,9706,CLE,102560,RP,P,Cleveland Indians,15033,L,P
davieky01,,5/21/2005,6208,,Kyle Davies,Kyle Davies,R,davieky01,davik002,RP,7501,Kyle Davies,Kyle Davies,RP/SP,Kyle Davies,1983,434678,Kyle Davies,Kyle Davies,-1,,7501,NYY,34448,,P,New York Yankees,3642,R,P
drabeky01,,9/15/2010,29965,Kyle Drabek,Kyle Drabek,Kyle Drabek,R,drabeky01,drabk001,RP,8656,Kyle Drabek,Kyle Drabek,RP,Kyle Drabek,1987,475138,Kyle Drabek,Kyle Drabek,-1,1184316,8656,CWS,49765,RP,P,Chicago White Sox,4359,R,P
